--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3190 ms         3189 ms            1 items_per_second=298.311M/s ns/interaction=3.35221s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3345 ms         3345 ms            1 items_per_second=284.419M/s ns/interaction=3.51594s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3934 ms         3933 ms            1 items_per_second=241.84M/s ns/interaction=4.13496s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1068 ms         1068 ms            1 items_per_second=890.573M/s ns/interaction=1.12287s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1027 ms         1027 ms            1 items_per_second=926.076M/s ns/interaction=1.07982s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1109 ms         1108 ms            1 items_per_second=858.305M/s ns/interaction=1.16509s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5500 ms         5499 ms            1 items_per_second=290.88M/s ns/interaction=3.43784s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5266 ms         5265 ms            1 items_per_second=303.814M/s ns/interaction=3.29149s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6555 ms         6553 ms            1 items_per_second=244.088M/s ns/interaction=4.09689s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6517 ms         6516 ms            1 items_per_second=245.488M/s ns/interaction=4.07351s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1564 ms         1564 ms            1 items_per_second=1.02303G/s ns/interaction=0.977484s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1505 ms         1505 ms            1 items_per_second=1.06316G/s ns/interaction=0.940596s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1541 ms         1541 ms            1 items_per_second=1.0383G/s ns/interaction=0.963111s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1478 ms         1477 ms            1 items_per_second=1.08284G/s ns/interaction=0.923501s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.46 ms         5.46 ms          128 items_per_second=1.46616G/s ns/interaction=0.682052s
BM_Manual_RealisticVectorRead/7998000                                             13.8 ms         13.8 ms           49 items_per_second=577.585M/s ns/interaction=1.73135s
BM_Manual_TriangleAoS/4000/200                                                    2766 ms         2766 ms            1 items_per_second=578.315M/s ns/interaction=1.72916s
BM_Manual_TriangleSoA/4000/200                                                    1562 ms         1562 ms            1 items_per_second=1.0243G/s ns/interaction=0.976272s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1373 ms         1373 ms            1 items_per_second=1.16511G/s ns/interaction=0.858287s
