---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4284 ms         4283 ms            1 items_per_second=979.001M/s ns/interaction=1.02145s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           4990 ms         4989 ms            1 items_per_second=840.44M/s ns/interaction=1.18985s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4861 ms         4860 ms            1 items_per_second=862.79M/s ns/interaction=1.15903s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1430 ms         1429 ms            1 items_per_second=2.93341G/s ns/interaction=0.3409s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1419 ms         1419 ms            1 items_per_second=2.95537G/s ns/interaction=0.338367s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1415 ms         1415 ms            1 items_per_second=2.96416G/s ns/interaction=0.337363s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1642 ms         1642 ms            1 items_per_second=2.55432G/s ns/interaction=0.391494s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4273 ms         4272 ms            1 items_per_second=981.479M/s ns/interaction=1.01887s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4531 ms         4530 ms            1 items_per_second=925.668M/s ns/interaction=1.0803s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1455 ms         1455 ms            1 items_per_second=2.88286G/s ns/interaction=0.346877s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1935 ms         1935 ms            1 items_per_second=2.16692G/s ns/interaction=0.461485s
