----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             5211 ms         5210 ms            5 items_per_second=804.814M/s ns/interaction=1.24256s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           5203 ms         5202 ms            5 items_per_second=806.128M/s ns/interaction=1.2405s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           29.6 ms         29.6 ms            5 items_per_second=4.56282M/s ns/interaction=7.05252ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.57 %          0.57 %             5 items_per_second=0.57% ns/interaction=0.57%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             4917 ms         4916 ms            5 items_per_second=852.944M/s ns/interaction=1.17241s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           4917 ms         4916 ms            5 items_per_second=853.041M/s ns/interaction=1.17228s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           1.86 ms         1.87 ms            5 items_per_second=325.196k/s ns/interaction=447.135us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.04 %          0.04 %             5 items_per_second=0.04% ns/interaction=0.04%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         5108 ms         5107 ms            5 items_per_second=821.075M/s ns/interaction=1.21794s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       5102 ms         5101 ms            5 items_per_second=822.054M/s ns/interaction=1.21647s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       25.4 ms         25.3 ms            5 items_per_second=4.05905M/s ns/interaction=6.04415ms
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.50 %          0.50 %             5 items_per_second=0.49% ns/interaction=0.50%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1540 ms         1539 ms            5 items_per_second=2.72399G/s ns/interaction=0.367109s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1541 ms         1541 ms            5 items_per_second=2.72157G/s ns/interaction=0.367436s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             2.26 ms         2.28 ms            5 items_per_second=4.02842M/s ns/interaction=542.647us
