Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.80_n100_t1,1000000,1,30,8.90468,3.36902,0.296823,0.300437,0.214455,0.387496,0.0406746
rho0.80_n100_t2,1000000,2,30,7.68499,3.90371,0.256166,0.2465,0.216053,0.32826,0.0312318
rho0.80_n100_t3,1000000,3,30,4.37675,6.8544,0.145892,0.146543,0.111295,0.19552,0.019957
rho0.80_n100_t4,1000000,4,40,4.19908,9.5259,0.104977,0.0989688,0.0906382,0.140075,0.0172978
rho0.80_n100_t6,1000000,6,60,4.67243,12.8413,0.0778738,0.0863293,0.0614584,0.0942979,0.0148975
rho0.80_n100_t8,1000000,8,80,5.0566,15.8209,0.0632075,0.0723511,0.0456882,0.0749029,0.0125274
rho0.80_n100_t11,1000000,11,110,5.45615,20.1607,0.0496014,0.0541749,0.0332447,0.0553188,0.00855893
rho0.80_n100_t16,1000000,16,160,6.14329,26.0447,0.0383956,0.040598,0.024177,0.0416981,0.00599899
rho0.80_n100_t23,1000000,23,230,533.364,0.431225,2.31897,2.376,1.92,2.40001,0.141455
