----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             5178 ms         5177 ms            5 items_per_second=809.981M/s ns/interaction=1.23463s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           5178 ms         5177 ms            5 items_per_second=810.008M/s ns/interaction=1.23456s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           30.9 ms         30.8 ms            5 items_per_second=4.81558M/s ns/interaction=7.3522ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.60 %          0.60 %             5 items_per_second=0.59% ns/interaction=0.60%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             4914 ms         4913 ms            5 items_per_second=853.431M/s ns/interaction=1.17174s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           4916 ms         4916 ms            5 items_per_second=853.068M/s ns/interaction=1.17224s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           4.87 ms         4.88 ms            5 items_per_second=847.531k/s ns/interaction=1.16262ms
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.10 %          0.10 %             5 items_per_second=0.10% ns/interaction=0.10%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         5063 ms         5062 ms            5 items_per_second=828.446M/s ns/interaction=1.20709s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       5061 ms         5060 ms            5 items_per_second=828.736M/s ns/interaction=1.20666s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       18.2 ms         18.2 ms            5 items_per_second=2.98111M/s ns/interaction=4.33777ms
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.36 %          0.36 %             5 items_per_second=0.36% ns/interaction=0.36%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1537 ms         1537 ms            5 items_per_second=2.72878G/s ns/interaction=0.366465s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1537 ms         1537 ms            5 items_per_second=2.72841G/s ns/interaction=0.366514s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             1.54 ms         1.53 ms            5 items_per_second=2.71261M/s ns/interaction=363.942us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_cv                 0.10 %          0.10 %             5 items_per_second=0.10% ns/interaction=0.10%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_mean           1522 ms         1522 ms            5 items_per_second=2.75473G/s ns/interaction=0.363012s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_median         1522 ms         1522 ms            5 items_per_second=2.75524G/s ns/interaction=0.362945s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_stddev         1.34 ms         1.35 ms            5 items_per_second=2.434M/s ns/interaction=320.979us
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_cv             0.09 %          0.09 %             5 items_per_second=0.09% ns/interaction=0.09%
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500_mean         1541 ms         1540 ms            5 items_per_second=2.72208G/s ns/interaction=0.367367s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500_median       1541 ms         1540 ms            5 items_per_second=2.72231G/s ns/interaction=0.367336s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500_stddev      0.279 ms        0.279 ms            5 items_per_second=492.781k/s ns/interaction=66.5177us
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500_cv           0.02 %          0.02 %             5 items_per_second=0.02% ns/interaction=0.02%
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500_mean         1529 ms         1529 ms            5 items_per_second=2.74241G/s ns/interaction=0.364643s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500_median       1529 ms         1529 ms            5 items_per_second=2.74285G/s ns/interaction=0.364585s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500_stddev       1.02 ms         1.02 ms            5 items_per_second=1.82728M/s ns/interaction=243.091us
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500_cv           0.07 %          0.07 %             5 items_per_second=0.07% ns/interaction=0.07%
BM_Baseline_Handcoded_AoS_Scalar/16/500_mean                                  4602 ms         4601 ms            5 items_per_second=911.392M/s ns/interaction=1.09724s
BM_Baseline_Handcoded_AoS_Scalar/16/500_median                                4600 ms         4599 ms            5 items_per_second=911.814M/s ns/interaction=1.09672s
BM_Baseline_Handcoded_AoS_Scalar/16/500_stddev                                20.3 ms         20.3 ms            5 items_per_second=4.01187M/s ns/interaction=4.83461ms
BM_Baseline_Handcoded_AoS_Scalar/16/500_cv                                    0.44 %          0.44 %             5 items_per_second=0.44% ns/interaction=0.44%
BM_Baseline_Handcoded_SoA_Scalar/16/500_mean                                  4453 ms         4452 ms            5 items_per_second=941.876M/s ns/interaction=1.06171s
BM_Baseline_Handcoded_SoA_Scalar/16/500_median                                4452 ms         4452 ms            5 items_per_second=941.987M/s ns/interaction=1.06159s
BM_Baseline_Handcoded_SoA_Scalar/16/500_stddev                                6.98 ms         6.96 ms            5 items_per_second=1.47184M/s ns/interaction=1.65936ms
BM_Baseline_Handcoded_SoA_Scalar/16/500_cv                                    0.16 %          0.16 %             5 items_per_second=0.16% ns/interaction=0.16%
