engine,kind,config,benchmark,scenario,run_id,scaling,n,particles,particles_processed,rho,dt,steps,steps_processed,bx,by,bz,schedule,layout,executor,ordering,threads,wall_time_seconds,integration_time_s,throughput_it_per_s,performance_mups,avg_step_time_s,median_step_time_s,min_step_time_s,max_step_time_s,std_deviation_s,hostname,run_date,build_dir,stdout_file,stderr_file,command,result_dir
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,27.52503,27.52495,18.17,18.17,0.05505,0.055033,0.054746,0.057211,0.000185,cm4r15c06s08,2026-04-23T23:57:22+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 6 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,20.98253,20.98246,23.83,23.83,0.041965,0.041921,0.041739,0.051101,0.00045,cm4r15c06s08,2026-04-23T23:57:54+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 8 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t1,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,1,194.36425,194.3641,2.57,2.57,0.388728,0.38935,0.370869,0.397144,0.005169,cm4r15c06s08,2026-04-23T20:11:00+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t1/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t1/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 1 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t1/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t11,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,11,21.59258,21.59244,23.16,23.16,0.043185,0.043224,0.041398,0.044909,0.000548,cm4r15c06s08,2026-04-23T20:19:45+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t11/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t11/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 11 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t11/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t16,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,16,16.28778,16.28768,30.7,30.7,0.032575,0.032586,0.031273,0.034632,0.000386,cm4r15c06s08,2026-04-23T20:20:09+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t16/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t16/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 16 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t16/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t2,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,2,100.29403,100.29386,4.99,4.99,0.200588,0.200817,0.191489,0.209829,0.002671,cm4r15c06s08,2026-04-23T20:14:31+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t2/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t2/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 2 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t2/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t23,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,23,12.40427,12.40413,40.31,40.31,0.024808,0.024785,0.024018,0.026652,0.000266,cm4r15c06s08,2026-04-23T20:20:28+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t23/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t23/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 23 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t23/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t3,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,3,68.29537,68.29523,7.32,7.32,0.13659,0.136743,0.129615,0.143321,0.001894,cm4r15c06s08,2026-04-23T20:16:21+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t3/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t3/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 3 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t3/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t32,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,32,10.09788,10.09775,49.52,49.52,0.020195,0.020162,0.01971,0.022664,0.000256,cm4r15c06s08,2026-04-23T20:20:42+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t32/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t32/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 32 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t32/20260423_200650
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t4,20260423_200650,strong,100,1000000,500000000,0.8442,0.005,500,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,4,52.45566,52.45553,9.53,9.53,0.104911,0.104993,0.099875,0.109467,0.001383,cm4r15c06s08,2026-04-23T20:17:36+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t4/20260423_200650/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t4/20260423_200650/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.005 4 500 2 2 2 C08 SoA NativeSpinExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t4/20260423_200650
