---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4285 ms         4284 ms            1 items_per_second=978.837M/s ns/interaction=1.02162s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           5082 ms         5081 ms            1 items_per_second=825.311M/s ns/interaction=1.21166s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4868 ms         4867 ms            1 items_per_second=861.639M/s ns/interaction=1.16058s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1434 ms         1434 ms            1 items_per_second=2.92459G/s ns/interaction=0.341928s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1479 ms         1478 ms            1 items_per_second=2.8363G/s ns/interaction=0.352572s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1420 ms         1420 ms            1 items_per_second=2.95306G/s ns/interaction=0.338631s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1654 ms         1653 ms            1 items_per_second=2.53625G/s ns/interaction=0.394283s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4278 ms         4277 ms            1 items_per_second=980.332M/s ns/interaction=1.02006s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4567 ms         4566 ms            1 items_per_second=918.325M/s ns/interaction=1.08894s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1445 ms         1445 ms            1 items_per_second=2.90172G/s ns/interaction=0.344624s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1939 ms         1939 ms            1 items_per_second=2.16278G/s ns/interaction=0.462368s
