---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4276 ms         4275 ms            1 items_per_second=980.879M/s ns/interaction=1.01949s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           4991 ms         4990 ms            1 items_per_second=840.325M/s ns/interaction=1.19002s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4865 ms         4864 ms            1 items_per_second=862.17M/s ns/interaction=1.15986s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1477 ms         1476 ms            1 items_per_second=2.84031G/s ns/interaction=0.352074s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1488 ms         1488 ms            1 items_per_second=2.81806G/s ns/interaction=0.354854s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1419 ms         1419 ms            1 items_per_second=2.95604G/s ns/interaction=0.33829s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1649 ms         1649 ms            1 items_per_second=2.5431G/s ns/interaction=0.393221s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4276 ms         4275 ms            1 items_per_second=980.82M/s ns/interaction=1.01955s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4567 ms         4566 ms            1 items_per_second=918.427M/s ns/interaction=1.08882s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1451 ms         1450 ms            1 items_per_second=2.89119G/s ns/interaction=0.345878s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1942 ms         1942 ms            1 items_per_second=2.15951G/s ns/interaction=0.463068s
