--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3180 ms         3179 ms            1 items_per_second=299.2M/s ns/interaction=3.34225s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3344 ms         3343 ms            1 items_per_second=284.534M/s ns/interaction=3.51452s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3934 ms         3933 ms            1 items_per_second=241.869M/s ns/interaction=4.13448s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1085 ms         1085 ms            1 items_per_second=876.767M/s ns/interaction=1.14055s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1021 ms         1020 ms            1 items_per_second=932.206M/s ns/interaction=1.07272s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1102 ms         1101 ms            1 items_per_second=863.637M/s ns/interaction=1.15789s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5484 ms         5483 ms            1 items_per_second=291.722M/s ns/interaction=3.42792s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5263 ms         5263 ms            1 items_per_second=303.955M/s ns/interaction=3.28996s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6564 ms         6563 ms            1 items_per_second=243.719M/s ns/interaction=4.10309s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6496 ms         6495 ms            1 items_per_second=246.265M/s ns/interaction=4.06067s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1555 ms         1554 ms            1 items_per_second=1.0291G/s ns/interaction=0.971727s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1474 ms         1474 ms            1 items_per_second=1.08541G/s ns/interaction=0.921313s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1529 ms         1529 ms            1 items_per_second=1.04607G/s ns/interaction=0.955963s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1456 ms         1456 ms            1 items_per_second=1.09888G/s ns/interaction=0.910015s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.45 ms         5.45 ms          129 items_per_second=1.46727G/s ns/interaction=0.681537s
BM_Manual_RealisticVectorRead/7998000                                             14.1 ms         14.1 ms           48 items_per_second=566.77M/s ns/interaction=1.76438s
BM_Manual_TriangleAoS/4000/200                                                    2763 ms         2763 ms            1 items_per_second=579.006M/s ns/interaction=1.7271s
BM_Manual_TriangleSoA/4000/200                                                    1561 ms         1560 ms            1 items_per_second=1.02519G/s ns/interaction=0.975432s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1373 ms         1372 ms            1 items_per_second=1.16547G/s ns/interaction=0.85802s
