--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3178 ms         3178 ms            1 items_per_second=299.344M/s ns/interaction=3.34064s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3353 ms         3352 ms            1 items_per_second=283.793M/s ns/interaction=3.52369s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3927 ms         3926 ms            1 items_per_second=242.29M/s ns/interaction=4.12728s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1089 ms         1088 ms            1 items_per_second=874.015M/s ns/interaction=1.14415s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1026 ms         1026 ms            1 items_per_second=926.928M/s ns/interaction=1.07883s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1109 ms         1108 ms            1 items_per_second=858.243M/s ns/interaction=1.16517s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5486 ms         5485 ms            1 items_per_second=291.629M/s ns/interaction=3.42902s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5257 ms         5256 ms            1 items_per_second=304.325M/s ns/interaction=3.28596s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6536 ms         6535 ms            1 items_per_second=244.767M/s ns/interaction=4.08552s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6498 ms         6497 ms            1 items_per_second=246.217M/s ns/interaction=4.06146s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1558 ms         1557 ms            1 items_per_second=1.02706G/s ns/interaction=0.973655s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1475 ms         1475 ms            1 items_per_second=1.08451G/s ns/interaction=0.922074s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1533 ms         1533 ms            1 items_per_second=1.04351G/s ns/interaction=0.9583s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1459 ms         1458 ms            1 items_per_second=1.09677G/s ns/interaction=0.911764s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.46 ms         5.45 ms          128 items_per_second=1.46639G/s ns/interaction=0.681947s
BM_Manual_RealisticVectorRead/7998000                                             14.6 ms         14.6 ms           46 items_per_second=546.138M/s ns/interaction=1.83104s
BM_Manual_TriangleAoS/4000/200                                                    2767 ms         2767 ms            1 items_per_second=578.108M/s ns/interaction=1.72978s
BM_Manual_TriangleSoA/4000/200                                                    1560 ms         1559 ms            1 items_per_second=1.02586G/s ns/interaction=0.974791s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1370 ms         1370 ms            1 items_per_second=1.16772G/s ns/interaction=0.856369s
