--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3180 ms         3180 ms            1 items_per_second=299.171M/s ns/interaction=3.34257s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3350 ms         3349 ms            1 items_per_second=284.039M/s ns/interaction=3.52064s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3934 ms         3933 ms            1 items_per_second=241.858M/s ns/interaction=4.13466s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1068 ms         1068 ms            1 items_per_second=890.701M/s ns/interaction=1.12271s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1029 ms         1028 ms            1 items_per_second=924.926M/s ns/interaction=1.08117s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1111 ms         1110 ms            1 items_per_second=856.714M/s ns/interaction=1.16725s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5480 ms         5479 ms            1 items_per_second=291.943M/s ns/interaction=3.42533s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5264 ms         5263 ms            1 items_per_second=303.943M/s ns/interaction=3.29009s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6559 ms         6558 ms            1 items_per_second=243.913M/s ns/interaction=4.09982s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6519 ms         6518 ms            1 items_per_second=245.405M/s ns/interaction=4.07489s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1566 ms         1566 ms            1 items_per_second=1.02152G/s ns/interaction=0.978929s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1483 ms         1483 ms            1 items_per_second=1.07897G/s ns/interaction=0.926809s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1542 ms         1542 ms            1 items_per_second=1.03768G/s ns/interaction=0.963687s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1467 ms         1467 ms            1 items_per_second=1.09032G/s ns/interaction=0.917165s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.45 ms         5.45 ms          128 items_per_second=1.46743G/s ns/interaction=0.681464s
BM_Manual_RealisticVectorRead/7998000                                             14.9 ms         14.9 ms           45 items_per_second=537.221M/s ns/interaction=1.86143s
BM_Manual_TriangleAoS/4000/200                                                    2769 ms         2769 ms            1 items_per_second=577.71M/s ns/interaction=1.73097s
BM_Manual_TriangleSoA/4000/200                                                    1562 ms         1562 ms            1 items_per_second=1.02418G/s ns/interaction=0.976395s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1372 ms         1372 ms            1 items_per_second=1.16579G/s ns/interaction=0.857791s
