---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4155 ms         4154 ms            1 items_per_second=1.00947G/s ns/interaction=0.990615s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           5050 ms         5050 ms            1 items_per_second=830.431M/s ns/interaction=1.20419s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4866 ms         4865 ms            1 items_per_second=861.957M/s ns/interaction=1.16015s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1426 ms         1426 ms            1 items_per_second=2.94019G/s ns/interaction=0.340114s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1422 ms         1421 ms            1 items_per_second=2.95003G/s ns/interaction=0.338979s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1418 ms         1418 ms            1 items_per_second=2.95759G/s ns/interaction=0.338114s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1650 ms         1649 ms            1 items_per_second=2.54237G/s ns/interaction=0.393333s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4273 ms         4272 ms            1 items_per_second=981.5M/s ns/interaction=1.01885s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4568 ms         4567 ms            1 items_per_second=918.111M/s ns/interaction=1.08919s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1443 ms         1443 ms            1 items_per_second=2.90583G/s ns/interaction=0.344136s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1925 ms         1924 ms            1 items_per_second=2.17909G/s ns/interaction=0.458907s
