Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.80_n40_t1,64000,1,468,12.0847,2.47852,0.0258219,0.0258829,0.0255001,0.0260505,0.000266932
rho0.80_n40_t2,64000,2,937,14.2753,4.20082,0.0152351,0.0152408,0.01502,0.0154718,0.000127753
rho0.80_n40_t4,64000,4,1875,16.2547,7.38248,0.00866918,0.00867289,0.00851889,0.00884707,9.47266e-05
rho0.80_n40_t8,64000,8,3750,20.0279,11.9833,0.00534078,0.00534117,0.0052747,0.0054333,4.1675e-05
rho0.80_n40_t16,64000,16,10000,36.714,17.4321,0.0036714,0.00367149,0.00362907,0.00373184,2.59365e-05
rho0.80_n40_t32,64000,32,10000,36.0995,17.7288,0.00360995,0.00360942,0.00356622,0.00367299,3.09552e-05
rho0.80_n100_t1,1000000,1,100,46.3737,2.1564,0.463737,0.496573,0.372713,0.584332,0.0544342
rho0.80_n100_t2,1000000,2,100,23.9666,4.17247,0.239666,0.255871,0.189918,0.261047,0.0282393
rho0.80_n100_t4,1000000,4,119,15.0581,7.90272,0.126539,0.134141,0.0959006,0.13561,0.0152011
rho0.80_n100_t8,1000000,8,239,17.0559,14.0127,0.0713637,0.0730681,0.0500509,0.0741657,0.0061353
rho0.80_n100_t16,1000000,16,479,20.3658,23.5198,0.0425173,0.0425548,0.0421061,0.0429673,0.000235094
rho0.80_n100_t32,1000000,32,959,35.5085,27.0076,0.0370266,0.0370465,0.0366826,0.0374172,0.000202581
rho0.80_n200_t8,8000000,8,100,60.0114,13.3308,0.600114,0.647562,0.416692,0.683185,0.0926304
rho0.80_n200_t16,8000000,16,100,34.4038,23.2532,0.344038,0.381333,0.214187,0.39132,0.0695483
rho0.80_n200_t32,8000000,32,119,34.8191,27.3413,0.292598,0.319533,0.170943,0.328437,0.0576685
