----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             4279 ms         4278 ms            3 items_per_second=980.101M/s ns/interaction=1.02031s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           4286 ms         4285 ms            3 items_per_second=978.616M/s ns/interaction=1.02185s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           17.6 ms         17.6 ms            3 items_per_second=4.04672M/s ns/interaction=4.2045ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.41 %          0.41 %             3 items_per_second=0.41% ns/interaction=0.41%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             5060 ms         5059 ms            3 items_per_second=828.898M/s ns/interaction=1.20642s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           5059 ms         5058 ms            3 items_per_second=829.092M/s ns/interaction=1.20614s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           2.33 ms         2.31 ms            3 items_per_second=378.41k/s ns/interaction=550.9us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.05 %          0.05 %             3 items_per_second=0.05% ns/interaction=0.05%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         4857 ms         4856 ms            3 items_per_second=863.444M/s ns/interaction=1.15815s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       4857 ms         4856 ms            3 items_per_second=863.512M/s ns/interaction=1.15806s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       1.15 ms         1.14 ms            3 items_per_second=202.926k/s ns/interaction=272.217us
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.02 %          0.02 %             3 items_per_second=0.02% ns/interaction=0.02%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1426 ms         1426 ms            3 items_per_second=2.9401G/s ns/interaction=0.340125s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1427 ms         1427 ms            3 items_per_second=2.9392G/s ns/interaction=0.340228s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             1.81 ms         1.81 ms            3 items_per_second=3.7387M/s ns/interaction=432.324us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_cv                 0.13 %          0.13 %             3 items_per_second=0.13% ns/interaction=0.13%
