engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,2,2,170.82718,4.8,4.795489804374221,0.854136,0.865974,0.070041,186.265095,1.9753086419753085,0.9876543209876543
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,114.67342,7.14,7.143765311961569,0.573367,0.581668,0.047859,126.115227,2.9382716049382713,0.9794238683127571
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,4,4,86.71119,9.45,9.44745424437146,0.433556,0.439966,0.036325,95.552218,3.8888888888888884,0.9722222222222221
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,6,6,61.73026,13.27,13.270639067452494,0.308651,0.310724,0.027433,69.181419,5.460905349794238,0.9101508916323731
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,8,8,45.1582,18.14,18.14066991155537,0.225791,0.228592,0.018308,51.449357,7.465020576131687,0.9331275720164609
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,11,11,33.48988,24.46,24.46112079231099,0.167449,0.170362,0.015411,38.46548,10.065843621399177,0.9150766928544706
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,16,16,24.23883,33.8,33.79701082931808,0.121194,0.123501,0.012008,28.893312,13.90946502057613,0.8693415637860081
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,23,23,18.2572,44.87,44.8699691080779,0.091286,0.093601,0.009863,22.438997,18.465020576131685,0.8028269815709429
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,32,32,14.66871,55.85,55.84676498478734,0.073344,0.07593,0.008669,18.553018,22.983539094650205,0.7182355967078189
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,37,37,13.77142,59.49,59.48551420260221,0.068857,0.070756,0.007955,17.612945,24.48148148148148,0.6616616616616616
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,45,45,12.61976,64.91,64.91407126601457,0.063099,0.065961,0.008894,15.992516,26.711934156378597,0.5935985368084132
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,50,50,12.47018,65.69,65.69271654458878,0.062351,0.064605,0.009322,16.169773,27.032921810699587,0.5406584362139918
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,56,56,12.79305,64.03,64.03476887841445,0.063965,0.06635,0.010553,16.469009,26.349794238683128,0.4705320399764844
