engine,config,scenario,run_id,scaling,mode,n,particles,rho,dt,steps,ranks,threads,total_cores,loop_time_s,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,neighbor_list_builds,total_neighbors,pair_ns_per_interaction,performance_mups,pair_percent,neigh_percent,comm_percent,modify_percent,known_timing_time_s,known_timing_percent,other_time_s,other_percent
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t56_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,56,56,16.7072,8.6019,0.0,1.3108,4.3719,0.0,40000000.0,0.430095,29.927,51.486185596629,0.0,7.845719210879141,26.167760007661368,14.284600000000001,85.49966481516951,2.422599999999999,14.500335184830488
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,1,1,267.794,147.36,112.59,1.8875,4.1931,84.0,37710977.0,7.81523109305813,1.867,55.02737178577564,42.043511057006505,0.7048328192565928,1.5657931096290434,266.03060000000005,99.3415087716678,1.7633999999999332,0.6584912283322006
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,1,1,267.383,147.1,112.57,1.8901,4.0588,84.0,37710977.0,7.801442004538891,1.87,55.01471671721838,42.1006571098387,0.7068886204433341,1.517972346783453,265.6189,99.34023479428386,1.764099999999985,0.6597652057161394
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,2,2,138.868,75.332,57.13,2.0574,2.6688,84.0,37710977.0,3.9952292935820783,3.601,54.24719877869631,41.139787424028576,1.4815508252441165,1.92182504248639,137.1882,98.7903620704554,1.6798000000000002,1.2096379295446036
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,2,2,138.794,75.378,57.004,2.0453,2.6832,84.0,37710977.0,3.997668901550867,3.602,54.309264089225756,41.07093966597979,1.4736227790826693,1.9332247791691282,137.1105,98.78705131345734,1.6835000000000093,1.2129486865426526
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,3,3,94.9174,50.639,38.327,2.0855,2.2125,84.0,37710977.0,2.6856371289452405,5.268,53.35059746685013,40.379319281817665,2.197173542469558,2.3309740890500583,93.26400000000001,98.25806438018742,1.6533999999999907,1.741935619812585
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,3,3,94.923,50.636,38.314,2.0803,2.2418,84.0,37710977.0,2.6854780240777107,5.267,53.344289582082325,40.36324178544715,2.191565795434194,2.3617036966804674,93.2721,98.26080085964412,1.6509000000000071,1.7391991403558749
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,4,4,73.1694,38.263,29.124,2.1208,2.0224,84.0,37710977.0,2.0292765154294465,6.833,52.29371841234177,39.80352442414452,2.8984794189920926,2.7639969714115464,71.53020000000001,97.75971922688994,1.6391999999999882,2.2402807731100545
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t4_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,4,4,72.9954,38.245,28.952,2.1327,2.0316,84.0,37710977.0,2.028321886224268,6.85,52.39371248051246,39.66277327064445,2.9216909558684514,2.783189077667908,71.3613,97.76136578469328,1.6341000000000037,2.238634215306723
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,6,6,51.2006,25.957,19.617,2.1593,1.8422,84.0,37710977.0,1.3766283488226785,9.766,50.69667152338059,38.31400413276407,4.217333390624328,3.5980047108822943,49.5755,96.82601375765128,1.6251000000000033,3.173986242348729
