engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,atoms,rho,dt,steps,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,output_time_s,modify_time_s,other_time_s,total_neighbors,neighbor_list_builds,wall_time_s,wall_time_process_s,exit_status,result_dir
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260630_024117_strong_rep1,2026-06-30T02:43:35+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,2,close,70.1694,,7.126,171.9,41.421,13.816,5.3472,,6.9052,,37710977,84,80.753614,80.753614,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260630_024117_strong_rep2,2026-06-30T02:55:05+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,2,close,70.1418,,7.128,171.7,41.278,13.854,5.3262,,6.9772,,37710977,84,80.670923,80.670923,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260630_024117_strong_rep3,2026-06-30T03:06:36+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,2,close,70.6003,,7.082,171.1,41.233,13.846,5.6622,,7.0259,,37710977,84,81.119757,81.119757,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_strong_rep1,2026-06-30T02:50:10+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,32,close,25.2967,,19.765,1544.0,8.5225,2.8879,5.5842,,6.0018,,37710977,84,31.391511,31.391511,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_strong_rep2,2026-06-30T03:01:42+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,32,close,25.171,,19.864,1552.4,8.4943,2.8772,5.5223,,5.9964,,37710977,84,31.214345,31.214345,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_strong_rep3,2026-06-30T03:13:12+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,32,close,25.2146,,19.83,1544.5,8.5635,2.9433,5.5068,,5.92,,37710977,84,31.359991,31.359991,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_strong_rep1,2026-06-30T02:50:44+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,37,close,25.16,,19.873,1720.8,8.1681,2.7825,5.7138,,6.1601,,37710977,84,31.327327,31.327327,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_strong_rep2,2026-06-30T03:02:15+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,37,close,24.9719,,20.023,1727.6,8.1626,2.79,5.5272,,6.1732,,37710977,84,31.13076,31.13076,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_strong_rep3,2026-06-30T03:13:48+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,37,close,24.9681,,20.026,1735.4,8.137,2.7993,5.5099,,6.1901,,37710977,84,31.159113,31.159113,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260630_024117_strong_rep1,2026-06-30T02:44:57+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,3,close,51.4852,,9.712,239.4,27.789,9.9334,5.4282,,5.7757,,37710977,84,59.828355,59.828355,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose\20260630_024117_strong_rep1
