engine,config,benchmark,scenario,run_id,date,hostname,cpu_scaling_enabled,implementation,layout,vector_policy,baseline_variant,kernel,benchmark_args,arg0,arg1,arg2,name,run_name,run_type,aggregate_name,repetition_index,repetitions,threads,iterations,real_time_ms,cpu_time_ms,time_unit,items_per_second,ns_per_interaction,json_path
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,4221.785356743891,4221.0719638,ms,993616004.274044,1.0066277386198867,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_median","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,median,,10,1,10,4218.167328401741,4217.476271750002,ms,994277622.1847708,1.0057702494825056,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_stddev","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,stddev,,10,1,10,63.04779130027016,63.033543640599056,ms,14890060.262345267,0.015032037841665399,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_cv","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,cv,,10,1,10,0.014933916808337368,0.014933065387459874,ms,0.01498572909282419,0.01493306538748348,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,0,10,1,2,4995.909040542688,4995.220583500007,ms,839458424.2888207,1.1912442249265507,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,1,10,1,2,4995.651805987508,4994.966779000002,ms,839501078.8919599,1.191183698441316,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,2,10,1,2,4997.103757844491,4996.419409499999,ms,839257007.1333601,1.1915301171159567,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,3,10,1,2,5014.397997605565,5013.6304730000065,ms,836375960.0118408,1.195634556480847,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,4,10,1,2,4997.197374039316,4996.456916000014,ms,839250707.1504964,1.191539061546096,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,5,10,1,2,4997.292542013449,4996.551451499997,ms,839234828.4017271,1.1915616060697105,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,6,10,1,2,4996.292407925601,4995.574323999989,ms,839398981.5854472,1.1913285838293624,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,7,10,1,2,4996.700047390407,4995.964287000007,ms,839333461.7926172,1.1914215809581057,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,8,10,1,2,5065.636580919811,5064.9122385,ms,827907731.179536,1.207864067865728,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,9,10,1,2,5025.022029132838,5024.263002999987,ms,834605990.4698843,1.1981701682215322,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,5008.1203583401675,5007.395946500001,ms,837432417.0905689,1.1941477665455205,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_median","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,median,,10,1,10,4997.150565941904,4996.438162750006,ms,839253857.1419282,1.1915345893310263,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_stddev","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,stddev,,10,1,10,22.52409762021559,22.515174764407842,ms,3735324.446619976,0.0053693468512888394,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_cv","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,cv,,10,1,10,0.004497515236970205,0.004496383949854251,ms,0.004460448831915707,0.004496383949887128,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,0,10,1,2,4866.101275220736,4865.190048999992,ms,861894388.0438753,1.1602349590296834,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,1,10,1,2,4864.395986988937,4863.523505500012,ms,862189726.287525,1.1598375270671197,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,2,10,1,2,4866.083225667743,4865.200693000005,ms,861892502.4065795,1.1602374973767564,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,3,10,1,2,4866.1164986194435,4865.315753999979,ms,861872119.3074734,1.1602649367559472,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,4,10,1,2,4869.604774435296,4868.721908999973,ms,861269154.0768844,1.161077225703977,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,5,10,1,2,4868.78477188658,4867.8897385000255,ms,861416388.8790345,1.1608787723452823,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,6,10,1,2,4863.849506111521,4862.95435149998,ms,862290635.8778757,1.1597017970419288,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
