engine,config,benchmark,scaling,n_dim,atoms,rho,dt,steps,ranks,threads,bind,n_reps,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,3,close,3,5.2620000000000005,5.261,5.259,5.266,0.0036055512754638386
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,4,close,3,6.851,6.852,6.849,6.852,0.0017320508075689429
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,6,close,3,9.771666666666667,9.773,9.765,9.777,0.006110100926607113
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,8,close,3,12.372,12.367,12.36,12.389,0.015132745950421269
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,11,close,3,15.705666666666666,15.704,15.697,15.716,0.009609023536932992
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,16,close,3,19.827,19.821,19.817,19.843,0.0139999999999996
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,23,close,3,23.067,23.073,23.046,23.082,0.018734993995195903
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,32,close,3,24.865333333333332,24.862,24.827,24.907,0.040104031385052474
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,37,close,3,25.536333333333335,25.536,25.533,25.54,0.003511884584283143
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,45,close,3,25.951,25.956,25.918,25.979,0.030805843601498722
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,50,close,3,25.276,25.282,25.248,25.298,0.02553429066960606
lammps,openmp-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,56,close,3,24.244,24.253,24.222,24.257,0.019157244060667784
lammps,openmp-native,argon_block,weak,32,32768,0.8442,1e-07,500,1,1,close,3,7.326666666666667,7.329,7.32,7.331,0.005859465277082251
lammps,openmp-native,argon_block,weak,32,32768,0.8442,0.005,500,1,1,close,3,1.9666666666666668,1.966,1.965,1.969,0.0020816659994661525
lammps,openmp-native,argon_block,weak,40,64000,0.8442,1e-07,500,1,2,close,3,13.43,13.431,13.4,13.459,0.029512709126747035
lammps,openmp-native,argon_block,weak,40,64000,0.8442,0.005,500,1,2,close,3,3.755333333333333,3.756,3.751,3.759,0.004041451884327375
lammps,openmp-native,argon_block,weak,46,97336,0.8442,1e-07,500,1,3,close,3,19.290333333333333,19.233,19.232,19.406,0.10017151957184839
lammps,openmp-native,argon_block,weak,46,97336,0.8442,0.005,500,1,3,close,3,5.376666666666667,5.377,5.373,5.38,0.00351188458428407
lammps,openmp-native,argon_block,weak,51,132651,0.8442,1e-07,500,1,4,close,3,20.031,20.037,20.019,20.037,0.010392304845413657
lammps,openmp-native,argon_block,weak,51,132651,0.8442,0.005,500,1,4,close,3,7.098,7.095,7.082,7.117,0.01769180601295422
lammps,openmp-native,argon_block,weak,58,195112,0.8442,1e-07,500,1,6,close,3,32.03933333333333,31.878,31.84,32.4,0.3129238459007764
