----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             4218 ms         4217 ms            3 items_per_second=994.47M/s ns/interaction=1.00575s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           4250 ms         4249 ms            3 items_per_second=986.85M/s ns/interaction=1.01333s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           69.8 ms         69.8 ms            3 items_per_second=16.6017M/s ns/interaction=0.0166392s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               1.66 %          1.65 %             3 items_per_second=1.67% ns/interaction=1.65%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             5040 ms         5040 ms            3 items_per_second=832.071M/s ns/interaction=1.20184s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           5031 ms         5030 ms            3 items_per_second=833.579M/s ns/interaction=1.19965s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           22.9 ms         22.9 ms            3 items_per_second=3.77788M/s ns/interaction=5.46925ms
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.46 %          0.46 %             3 items_per_second=0.45% ns/interaction=0.46%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         4861 ms         4860 ms            3 items_per_second=862.788M/s ns/interaction=1.15903s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       4861 ms         4860 ms            3 items_per_second=862.818M/s ns/interaction=1.15899s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev      0.863 ms        0.835 ms            3 items_per_second=148.299k/s ns/interaction=199.228us
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.02 %          0.02 %             3 items_per_second=0.02% ns/interaction=0.02%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1431 ms         1431 ms            3 items_per_second=2.92993G/s ns/interaction=0.341306s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1431 ms         1431 ms            3 items_per_second=2.93064G/s ns/interaction=0.341222s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             2.94 ms         2.93 ms            3 items_per_second=6.00568M/s ns/interaction=699.851us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_cv                 0.21 %          0.21 %             3 items_per_second=0.20% ns/interaction=0.21%
