Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.80_n100_t1,1000000,1,30,8.99842,3.33392,0.299947,0.304791,0.213743,0.391021,0.0418013
rho0.80_n100_t2,1000000,2,30,7.76576,3.86311,0.258859,0.248704,0.216888,0.334271,0.0317735
rho0.80_n100_t3,1000000,3,30,4.42896,6.77359,0.147632,0.147205,0.111555,0.198054,0.0201872
rho0.80_n100_t4,1000000,4,40,4.24087,9.43204,0.106022,0.0989264,0.0915761,0.143167,0.0174711
rho0.80_n100_t6,1000000,6,60,4.69551,12.7782,0.0782586,0.0859472,0.0615308,0.0963862,0.0149177
rho0.80_n100_t8,1000000,8,80,5.08615,15.729,0.0635769,0.0729925,0.0454132,0.0750516,0.0126492
rho0.80_n100_t11,1000000,11,110,5.48829,20.0427,0.0498935,0.0543871,0.0333969,0.0576857,0.00876125
rho0.80_n100_t16,1000000,16,160,6.15831,25.9811,0.0384895,0.0406402,0.0240014,0.0418674,0.00604685
rho0.80_n100_t23,1000000,23,230,532.044,0.432295,2.31323,2.376,1.92,2.4,0.139154
