engine,config,benchmark,scaling,n_dim,particles,rho,dt,steps,block_x,block_y,block_z,cell_config,layout,executor,ordering,threads,n_reps,performance_mups_mean,performance_mups_median,performance_mups_min,performance_mups_max,performance_mups_stddev,label,cores,mups_mean,mups_min,mups_max,mups_std,runs,atoms,ranks,bind,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev,requested_dt
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,16,3,,,,,,LAMMPS openmp,16,44.659333333333336,44.548,44.719,0.0965004317779621,3,1000000.0,1.0,close,44.659333333333336,44.711,44.548,44.719,0.0965004317779621,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,23,3,,,,,,LAMMPS openmp,23,44.08,44.03,44.124,0.0472863616701479,3,1000000.0,1.0,close,44.08,44.086,44.03,44.124,0.0472863616701479,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,32,3,,,,,,LAMMPS openmp,32,40.64666666666667,40.605,40.705,0.0520416499866532,3,1000000.0,1.0,close,40.64666666666667,40.63,40.605,40.705,0.0520416499866532,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,37,3,,,,,,LAMMPS openmp,37,39.836333333333336,39.755,39.912,0.0786532474430207,3,1000000.0,1.0,close,39.836333333333336,39.842,39.755,39.912,0.0786532474430207,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,45,3,,,,,,LAMMPS openmp,45,36.74066666666667,36.701,36.767,0.0349618840072065,3,1000000.0,1.0,close,36.74066666666667,36.754,36.701,36.767,0.0349618840072065,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,50,3,,,,,,LAMMPS openmp,50,33.208,33.18,33.238,0.0290516780926676,3,1000000.0,1.0,close,33.208,33.206,33.18,33.238,0.0290516780926676,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,56,3,,,,,,LAMMPS openmp,56,29.718,29.343,30.312,0.5202989525263346,3,1000000.0,1.0,close,29.718,29.499,29.343,30.312,0.5202989525263346,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,1,3,2.6533333333333333,2.65,2.65,2.66,0.0057735026918963,APRIL,1,2.6533333333333333,2.65,2.66,0.0057735026918963,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,2,3,5.1866666666666665,5.19,5.18,5.19,0.0057735026918966,APRIL,2,5.1866666666666665,5.18,5.19,0.0057735026918966,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,3,3,7.626666666666667,7.65,7.57,7.66,0.0493288286231624,APRIL,3,7.626666666666667,7.57,7.66,0.0493288286231624,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,4,3,10.003333333333334,10.0,9.98,10.03,0.0251661147842352,APRIL,4,10.003333333333334,9.98,10.03,0.0251661147842352,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,6,3,14.546666666666669,14.6,14.4,14.64,0.1285820101465726,APRIL,6,14.546666666666669,14.4,14.64,0.1285820101465726,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,8,3,18.89,18.9,18.87,18.9,0.0173205080756873,APRIL,8,18.89,18.87,18.9,0.0173205080756873,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,11,3,24.686666666666667,24.69,24.66,24.71,0.0251661147842362,APRIL,11,24.686666666666667,24.66,24.71,0.0251661147842362,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,16,3,32.626666666666665,32.62,32.6,32.66,0.0305505046330367,APRIL,16,32.626666666666665,32.6,32.66,0.0305505046330367,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,23,3,40.85333333333333,40.87,40.82,40.87,0.0288675134594796,APRIL,23,40.85333333333333,40.82,40.87,0.0288675134594796,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,32,3,47.27,47.34,47.1,47.37,0.1479864858694865,APRIL,32,47.27,47.1,47.37,0.1479864858694865,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,37,3,51.28,49.62,49.55,54.67,2.9360347409388763,APRIL,37,51.28,49.55,54.67,2.9360347409388763,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,45,3,50.73333333333333,50.81,50.56,50.83,0.1504437879519554,APRIL,45,50.73333333333333,50.56,50.83,0.1504437879519554,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,50,3,52.223333333333336,52.22,52.02,52.43,0.2050203241957554,APRIL,50,52.223333333333336,52.02,52.43,0.2050203241957554,3,,,,,,,,,0.005
april,native,argon_block,strong,100,1000000.0,0.8442,0.005,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,56,3,51.99666666666666,50.17,50.16,55.66,3.172543669255527,APRIL,56,51.99666666666666,50.16,55.66,3.172543669255527,3,,,,,,,,,0.005
